Epoch	Tr_T1Acc	Val_T1Acc	Val_T5Acc	Tr_loss	Val_loss
1	41.192	20.28	5.9	2.213516	0.799995
2	20.936	18.12	4.75	0.81162	0.678073
3	16.46	17.7	4.53	0.615352	0.659028
4	13.109	17.16	4.24	0.480683	0.643178
5	10.92	16.86	4.14	0.39117	0.635681
6	9.271	16.65	4.23	0.328835	0.640635
7	7.897	17.45	4.23	0.275839	0.670483
8	6.491	17.23	4.25	0.230501	0.693049
9	5.746	17.5	4.66	0.201026	0.706276
10	5.143	17.51	4.35	0.180838	0.717169
11	3.444	16.42	3.87	0.127152	0.660448
12	2.888	16.25	3.87	0.109849	0.655591
13	2.603	16.1	3.79	0.101825	0.655258
14	2.55	16.06	3.74	0.098494	0.654862
15	2.341	15.87	3.74	0.091849	0.654328
16	2.314	15.97	3.83	0.089482	0.654668
17	2.16	15.77	3.74	0.08528	0.655243
18	2.099	15.76	3.73	0.082709	0.657921
19	2.044	15.93	3.69	0.080398	0.659511
20	1.971	15.8	3.68	0.079295	0.658861
21	1.802	15.92	3.72	0.073593	0.659871
22	1.909	15.81	3.67	0.076919	0.659442
23	1.82	15.78	3.72	0.074806	0.659784
24	1.849	15.67	3.76	0.074391	0.659677
25	1.866	15.71	3.7	0.075701	0.65947
26	1.796	15.7	3.73	0.07352	0.659715
27	1.804	15.67	3.69	0.073025	0.658981
28	1.857	15.61	3.75	0.074327	0.658751
29	1.797	15.75	3.71	0.072128	0.658914
30	1.856	15.74	3.69	0.073854	0.65953
